City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,Adelanto,US,87.19,clear sky,34.5828,-117.4092,Days Inn Adelanto-Victorville
453,Acajutla,SV,79.75,light rain,13.5928,-89.8275,Laureles
454,Dharchula,IN,76.62,overcast clouds,29.85,80.5333,Mahara Hotel
458,Boone,US,88.65,broken clouds,39.0334,-92.3335,Cottonwoods RV Park
467,Nara,JP,79.97,light rain,34.6851,135.8049,Guesthouse Nara Komachi
469,Obregon,NI,77.09,overcast clouds,11.9566,-85.9636,Hostal Casa Aryen
471,Lubao,PH,85.71,broken clouds,14.9167,120.55,Hacienda Gracia
477,Bambanglipuro,ID,83.75,scattered clouds,-7.95,110.2833,Puri Brata
480,Urucui,BR,80.1,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
481,Bayshore Gardens,US,84.97,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
482,Ukiah,US,88.65,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
484,Kareli,IN,80.62,broken clouds,22.9167,79.0667,Maa Narmda Hoatal
486,Lakatoro,VU,82.33,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
487,Haapiti,PF,82.13,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
488,Daru,PG,79.23,broken clouds,-9.0763,143.2092,Daru Lodge
494,San Pedro,PH,87.35,moderate rain,14.35,121.0167,Palines Apartment and Guesthouse
496,Kathmandu,NP,77.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
498,Siloam Springs,US,84.69,clear sky,36.1881,-94.5405,Cherokee Hotel & Casino West Siloam Springs
500,Banda Aceh,ID,83.59,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
502,Sungaipenuh,ID,75.33,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
510,Bengkulu,ID,82.29,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
512,Kulhudhuffushi,MV,81.34,overcast clouds,6.6221,73.07,Haajy Guest House 1
517,Kendari,ID,75.36,light rain,-3.945,122.4989,Hotel Wixel
523,Yarada,IN,79.12,drizzle,17.65,83.2667,Yarada Jungle Beach Resorts
525,Pangai,TO,80.71,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
526,Port Blair,IN,81.93,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
530,Tamiahua,MX,82.35,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
532,Panama City,PA,81.18,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
536,La Asuncion,VE,82.13,broken clouds,11.0333,-63.8628,Colinas de Matasiete
540,Kandrian,PG,85.46,light rain,-6.2167,149.55,Kandrian Station
541,Aleksandrov Gay,RU,84.25,overcast clouds,50.147,48.5704,Gostinitsa
545,Jacareacanga,BR,75.69,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
546,Buala,SB,85.5,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
547,Tezu,IN,89.53,overcast clouds,27.9167,96.1667,Circuit House
550,Jaena,PH,80.29,overcast clouds,11.4167,122.4,kbk inn
551,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
554,Chabahar,IR,84.02,overcast clouds,25.2919,60.643,هتل گدروشیا
556,Bud,US,79.92,few clouds,39.447,-86.1758,Ted McQuinn Trust
557,Coronado,US,75.24,broken clouds,32.6859,-117.1831,Hilton San Diego Bayfront
558,Chimore,BO,79.32,overcast clouds,-16.9833,-65.1333,Bichito
559,Kirakira,SB,85.03,clear sky,-10.4544,161.9205,SanBiz Lodge
561,Itoman,JP,87.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
562,Rockport,US,86.05,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
